CEARES,PORTUGUES
ABAITOLADO,viado
ABESTADO,Bobo;Tolo;apalermado
ABIROBADO (OU ABILOLADO),Doido;Maluco
ABRIR,Ligar
ABUFELAR,Agarrar;agredir
ACHAR GRAÇA,Rir;sorrir
ACUNHAR,Chegar junto
AGORA PRONTO!,espanto;indignação;revolta
AGORA DEU!,espanto;indignação;revolta
"AH, UMA JAULA!",besteira
AÍ DENTRO,Resposta;provocação
ALENCARINO,cearense
ALFINIM,rapadura
ALPERCATA,sandália de couro
ALUIR,Mover-se;mexer-se
AMANCEBADO (A),amigado;solteiro
AMANSA-CORNO,Aguardente;cachaça
AMARELO QUEIMADO,amarelo-avermelhada;alaranjado
AMOJADA,peitos fartos
AMUFAMBADO,Entocado;escondido
AMUNHECAR,Esmorecer;desanimar;perder a coragem
"ANDE, TONHA!",desejo sexual;satisfação
ANEL,Ânus;fiofó;carritel
ANGU,comida;papa grossa
AOS EMBOLÉUS,trancos;atabalhoada
APAPAGAIADO,colorido;extravagante
APERREADO,apressado;aexado;nervoso
APERREAR,Encher o saco
APERREIO,Situação vexatória
APETRECHADA,beleza física
ARIAR,Polir;abrasivo
ARENGAR,Provocar;intrigas;intimar
ARIADO,Perdido;distraído
ARIGÓ,Matuto;abestado
ARRASTA-PÉ,Dança;Gafieira;rala-bucho;Bate-coxa
ARRE-DIABO,dor;irritação;aplauso;admiração
ARRE-ÉGUA,espanto
ARRE-EMA,espanto
ARRETADO (A),máximo;elogio
ARRIADO,Apaixonado
ARRIAR A MASSA,Defecar
ARRIBAR,Levantar;erguer
ARROCHADO,valente;Valentão
ARROCHAR,Enfrentar;bancar o valente
ARRUDIAR,Dar a volta
ARRUMAÇÃO,Teimosia
ASSANHADO (A),Despenteado
ASSUNGAR,Levantar;solavancos
ASSUNTAR,Procurar;ouvir
ATRUADO,Perdido;tonto
AVEXADO,Apressado
AVIA,pressa;rapidez
BABÃO,Baba-ovo;puxa-saco;bajulador
BABA-OVO,puxa-saco;bajulador;babão
BABAQUARA,Matuto;ingênua;tola
BABAU,Prejuízo;perda
BADOGUE,baladeira;estilingue
BÃE DE CUIA,lençol
BAGULHO,feia;velha;imprestável
BAITINGA,Gay;fresco;Viado;Boiola
BAITOLA,Homossexual;pejorativo
BAIXA DA ÉGUA,lugar hipotético
BAIXAR O SARRAFO,Açoitar;surrar
BALADEIRA,Estilingue;atiradeira
BALAIO-DE-GATO,confusa;bagunça
BALDEAR,Perturbar;Atrapalhar
BARRUADA,abalroamento;colisão
BAQUEADO,Fraco;adoentado;triste
BATE-COXA,Dança;sacanagem;Gafieira;rala-bucho;Arrasta-pé
BATER A CAÇULETA,Morrer
BATER FOFO,Faltar;descumprir
BATER O CATOLÉ,Morrer
BATORÉ,baixinho;tamborete-de-forró;tampinha
BEBO,Bêbado;cachaceiro
BERADEIRO (BEIRADEIRO),Matuto;caipira
BESTA,tolas;ingênuas;importantes
BICHA,objeto;Viado;baitola;homossexual
BICHIM,carinhoso;animais;crianças
BILA,Bolinha de gude
BILOTO,Botão
BIRITA,Bebida;cachaça
BIRITEIRO,bebe;Bebo;Alcoólatra
BIRÓ,Doido;alienado
BÓ,Vamos embora
BOCA QUENTE,perigoso
BOÇAL,metida;besta;esnobe
BOCÓ,Ignorante
BOGA,Ânus;anel;fiofó;carretel
BOITATÁ,Papa-figo;bicho-papão
BOTA UMA AÍ,cachaça
BOTAR BUNECO,Criar caso;confusão
BOTAR PRA MOER,Resolver;firme;decidida
BRABA,Situação;ruim
BRABEIRA,perigosa
BRABO,bravo;irritadiça;valente
BREADO,Melado;sujo
BRECHA,Espaço;pernas
BRECHAR,espiar;olhar disfarçadamente
BRECHEIRO (A),brechar
BREGUEÇO,imprestável
BRENHA,Lugar;mato
BRIBA,lagartixa
BRÔCO,Esclerosado;Caduco;Abestado
BROCOIÓ,Envergonhado;Encabulado
BRONHA,Masturbação
BRUGUELO,Recém nascido;criança
BUFUNFA,Dinheiro;grana
BULIÇOSO,mexe;tudo
BULIDA,virgindade;perdida
BULIR,Azucrinar;aporrinhar;apoquentar;cacetear;aborrecer;mexer
BUNDA-CANASTRA,Cambalhota
BUNEQUEIRO,boneco
BUNITIM,embriagado;bêbedo;bêbo;cheio-dos-paus;trubiscado
BURRIM,garrafa;cachaça
BURRO-DE-CARGA,trabalhador
BURUNDANGA,imprestável
CABAÇO,Virgem
CABEÇA-CHATA,cearense
CABRA,Homem;caboco
CABRA-DA-PESTE,valente;intrépido;afoito
CABRA-MACHO,valente;intrépido;afoito
CAÇOAR,mangar;zombar;troçar;chacota
CAGAÇO,Bronca;carão;repreensão
CAGADO,sorte;sortudo
CAGADO E CUSPIDO,semelhante;igualzinho
CAGAR-O-PAU,mal feita;mancada
CAI-DURO,Sanduíche;cachorro-quente
CAJUINA,Bebida;suco de caju
CALDO DE BILA,Brincadeira;fraco
CALOMBO,Mondrongo;Caroço;lombinho
CAMBADA,Turma;grupo
CAMBIRIMBA,Lugar;longe
CAMBITO,Pernas;finas
CANELAU,Gentinha;Ralé
CÃO CHUPANDO MANGA,feia
CÃO COMENDO MARIOLA,desafio;perigoso;importante;boçal;esnobe
CAPAR-O-GATO,ir embora;fugir
CAPIONGO (A),Triste;melancólico;Acabrunhado
CAPITÃO,bolo;farinha;feijão;toucinho
CARA DE BICHO,Zangado;raiva
CARÃO,Bronca;reclamação
CARAÔI,caolho;estrábico
CARNE-DE-TETÉU,miserável;egoísta
CARRITEL,Ânus;boga;anel;fiofó
CARTEIRA DE CIGARROS,Maço de cigarros
CASA DO CHICO,distante
CASAMENTO-DA-RAPOSA,sol;chuva
CASCUDO,pancada;cabeça
CATIRIPAPO,Pancada;porrada
CATIROBA,Vadia;gato véi;mulher feia
CATREVAGEM,imprestável;feia
CAXAPREGO,distante
CEARÁ,cearense
CEARENSE,cearense
CELULAR,garrafa;aguardente
CEROTO,Sujeira;pele
CHAPA,Radiografia;dentadura
